,MinTemp,MaxTemp,WindGustSpeed,WindSpeed9am,WindSpeed3pm,RainTomorrow
160,6.5,17.5,28.0,17.0,7.0,0
161,6.7,17.3,22.0,13.0,9.0,0
162,8.5,18.4,33.0,19.0,15.0,0
163,11.7,20.1,31.0,17.0,15.0,1
164,9.5,20.9,22.0,7.0,7.0,0
165,7.4,22.3,33.0,19.0,17.0,0
166,6.5,16.7,33.0,7.0,15.0,0
167,7.2,16.6,19.0,6.0,4.0,0
168,7.8,12.2,28.0,6.0,17.0,1
169,9.2,14.6,20.0,11.0,6.0,1
170,9.5,16.0,26.0,9.0,11.0,0
171,9.8,20.7,54.0,13.0,28.0,0
172,8.7,17.0,39.0,13.0,19.0,0
173,4.3,16.5,41.0,7.0,20.0,0
174,8.5,14.3,48.0,20.0,24.0,0
175,7.1,13.5,33.0,17.0,15.0,0
176,8.3,14.7,24.0,13.0,7.0,0
177,4.4,12.8,22.0,6.0,7.0,0
178,1.7,14.6,20.0,6.0,11.0,0
179,5.3,16.6,31.0,13.0,11.0,0
180,6.3,17.0,30.0,19.0,11.0,0
181,5.6,17.6,30.0,20.0,11.0,0
182,8.4,18.4,33.0,15.0,17.0,0
183,10.5,19.5,28.0,9.0,7.0,0
184,7.7,15.6,28.0,6.0,15.0,0
185,6.3,12.0,22.0,6.0,11.0,1
186,1.9,13.7,15.0,4.0,4.0,0
187,3.2,15.3,24.0,6.0,7.0,0
188,3.7,17.6,24.0,11.0,7.0,0
189,8.2,22.7,31.0,15.0,17.0,0
190,12.2,17.4,43.0,13.0,11.0,1
191,5.1,13.0,33.0,11.0,20.0,0
192,1.2,15.5,20.0,7.0,4.0,0
193,3.4,17.1,33.0,13.0,13.0,0
194,8.9,12.2,24.0,7.0,11.0,1
195,4.6,11.4,30.0,7.0,13.0,0
196,3.6,16.6,26.0,6.0,15.0,0
197,5.3,15.1,24.0,4.0,11.0,0
198,4.9,15.8,20.0,6.0,9.0,0
199,9.3,17.2,26.0,7.0,15.0,0
200,4.7,16.3,20.0,6.0,9.0,0
201,5.2,17.6,17.0,7.0,2.0,0
202,5.9,19.9,20.0,4.0,11.0,0
203,8.0,20.5,26.0,13.0,9.0,0
204,7.2,19.2,44.0,15.0,28.0,0
205,2.3,16.2,24.0,9.0,7.0,0
206,1.7,17.6,19.0,9.0,6.0,0
207,6.2,21.4,43.0,7.0,13.0,0
208,8.4,19.1,44.0,15.0,20.0,0
209,7.5,19.3,37.0,6.0,13.0,0
210,4.1,19.0,28.0,2.0,13.0,0
211,6.5,20.3,17.0,6.0,6.0,0
212,7.4,22.8,35.0,17.0,15.0,0
213,13.4,28.0,57.0,26.0,22.0,0
214,7.8,18.2,37.0,15.0,22.0,0
215,5.2,18.8,26.0,7.0,11.0,0
216,4.9,21.3,24.0,6.0,9.0,0
217,10.0,22.8,22.0,2.0,11.0,0
218,10.5,27.6,61.0,20.0,28.0,0
219,11.9,19.9,30.0,13.0,15.0,0
220,14.1,28.9,37.0,13.0,17.0,0
221,15.4,23.2,57.0,6.0,19.0,0
222,10.4,17.5,65.0,20.0,13.0,0
223,6.2,18.8,22.0,9.0,13.0,0
224,5.2,23.3,31.0,13.0,17.0,0
225,6.5,23.7,24.0,11.0,13.0,0
226,15.4,26.7,48.0,19.0,26.0,0
227,9.3,16.3,54.0,24.0,11.0,0
228,3.5,18.2,35.0,6.0,9.0,0
229,6.6,21.1,22.0,4.0,6.0,0
230,7.4,22.9,39.0,13.0,9.0,0
231,6.1,19.0,30.0,7.0,13.0,0
232,6.7,21.7,39.0,13.0,17.0,0
233,13.3,21.0,54.0,22.0,28.0,0
234,7.9,18.5,41.0,17.0,20.0,0
235,4.9,18.6,35.0,6.0,15.0,0
236,6.5,26.0,37.0,15.0,13.0,0
237,12.0,30.1,44.0,22.0,20.0,0
238,14.5,32.7,46.0,19.0,20.0,0
239,13.8,24.6,33.0,15.0,11.0,0
240,8.1,24.2,24.0,13.0,9.0,0
241,7.1,28.2,26.0,15.0,9.0,0
242,15.7,31.3,50.0,24.0,11.0,1
243,10.9,22.9,24.0,11.0,7.0,0
244,9.6,26.6,31.0,6.0,11.0,0
245,14.4,29.2,59.0,9.0,17.0,0
246,14.8,21.5,44.0,11.0,24.0,0
247,15.1,29.6,83.0,26.0,11.0,0
248,9.6,18.7,74.0,26.0,30.0,0
249,7.1,21.7,33.0,9.0,17.0,0
250,8.8,27.5,65.0,17.0,37.0,0
251,8.7,17.7,63.0,30.0,31.0,0
252,6.9,16.8,50.0,28.0,31.0,0
253,7.7,19.3,39.0,13.0,13.0,0
254,5.9,22.1,28.0,6.0,9.0,0
255,7.4,27.6,35.0,17.0,20.0,0
256,14.7,34.9,43.0,17.0,22.0,0
257,16.6,33.4,72.0,15.0,43.0,0
258,11.6,17.7,44.0,17.0,13.0,0
259,8.2,20.8,30.0,9.0,11.0,0
260,11.2,24.1,33.0,13.0,15.0,0
261,8.0,22.4,41.0,7.0,20.0,0
262,5.4,18.1,44.0,19.0,20.0,0
263,4.0,19.6,31.0,11.0,9.0,0
264,6.1,22.0,30.0,17.0,9.0,0
265,9.7,24.4,41.0,24.0,7.0,0
266,10.3,27.7,48.0,17.0,9.0,0
267,16.3,29.1,76.0,24.0,35.0,0
268,9.1,23.8,69.0,15.0,35.0,0
269,12.4,21.5,54.0,24.0,22.0,0
270,9.5,21.6,50.0,19.0,26.0,0
271,6.7,19.5,44.0,19.0,22.0,0
272,7.8,22.1,31.0,7.0,15.0,0
273,8.5,24.8,35.0,7.0,7.0,0
274,9.9,28.6,30.0,13.0,9.0,0
275,13.9,32.6,39.0,13.0,13.0,0
276,15.4,36.0,33.0,11.0,17.0,0
277,17.1,36.7,48.0,6.0,11.0,0
278,17.5,35.1,43.0,13.0,6.0,0
279,9.8,16.1,57.0,11.0,28.0,1
280,11.7,23.7,46.0,24.0,24.0,0
281,15.3,26.1,35.0,20.0,7.0,0
282,16.4,31.2,44.0,17.0,19.0,0
283,17.9,30.7,33.0,15.0,7.0,0
284,19.6,33.4,31.0,13.0,4.0,0
285,21.2,35.0,26.0,13.0,6.0,0
286,21.9,37.5,28.0,15.0,15.0,0
287,21.3,38.3,56.0,20.0,24.0,0
288,16.7,28.3,30.0,11.0,17.0,0
289,14.3,27.3,30.0,15.0,11.0,0
290,14.9,31.3,44.0,17.0,9.0,0
291,16.6,29.2,41.0,20.0,17.0,0
292,18.0,31.8,43.0,24.0,15.0,0
293,20.0,32.7,35.0,20.0,13.0,0
294,18.9,34.1,43.0,15.0,11.0,0
295,19.8,36.5,30.0,20.0,6.0,0
296,21.7,40.4,72.0,9.0,11.0,0
297,21.9,37.4,37.0,11.0,17.0,0
298,20.2,36.4,37.0,15.0,9.0,0
299,22.5,39.8,33.0,13.0,9.0,0
300,25.3,41.7,46.0,15.0,6.0,0
301,23.6,38.2,43.0,11.0,20.0,0
302,21.0,41.8,31.0,17.0,11.0,0
303,27.4,43.9,44.0,9.0,20.0,0
304,28.8,45.4,56.0,15.0,15.0,0
305,27.3,39.7,39.0,13.0,9.0,0
306,26.1,33.1,57.0,22.0,17.0,0
307,17.6,19.6,43.0,9.0,13.0,1
308,13.8,33.8,35.0,19.0,11.0,0
309,19.4,36.7,54.0,26.0,19.0,0
310,21.4,28.1,44.0,7.0,17.0,1
311,15.4,33.0,41.0,6.0,20.0,0
312,19.8,32.2,52.0,17.0,19.0,0
313,18.5,26.2,57.0,30.0,24.0,0
314,15.4,27.3,37.0,11.0,19.0,0
315,14.0,28.0,37.0,20.0,15.0,0
316,15.3,29.8,37.0,20.0,9.0,0
317,17.1,34.0,33.0,20.0,9.0,0
318,17.5,35.8,41.0,7.0,19.0,0
319,15.5,32.7,35.0,13.0,13.0,0
320,17.5,33.5,39.0,9.0,9.0,0
321,19.8,37.5,37.0,7.0,13.0,0
322,22.8,39.9,74.0,17.0,28.0,0
323,13.3,31.3,24.0,9.0,9.0,0
324,18.9,35.0,54.0,15.0,28.0,0
325,13.4,31.9,33.0,13.0,13.0,0
326,18.4,33.9,37.0,13.0,19.0,0
327,18.9,35.9,39.0,15.0,11.0,0
328,19.8,38.8,54.0,11.0,6.0,0
329,22.8,41.9,44.0,20.0,15.0,0
330,26.5,41.8,67.0,31.0,22.0,1
331,18.7,24.8,41.0,11.0,13.0,0
332,14.3,30.9,31.0,11.0,9.0,0
333,17.6,34.2,35.0,13.0,9.0,0
334,19.2,37.6,31.0,11.0,13.0,0
335,22.6,38.4,41.0,22.0,9.0,0
336,21.9,39.7,39.0,17.0,17.0,0
337,27.3,39.6,57.0,31.0,22.0,1
338,19.4,24.7,33.0,7.0,7.0,1
339,20.3,25.4,31.0,13.0,15.0,1
340,18.6,29.7,33.0,11.0,9.0,0
341,21.9,32.2,39.0,13.0,17.0,0
342,21.9,33.6,41.0,13.0,24.0,0
343,22.3,32.3,43.0,19.0,20.0,0
344,21.5,27.2,46.0,22.0,26.0,1
345,19.3,26.4,30.0,13.0,19.0,1
346,21.0,33.4,44.0,7.0,19.0,0
347,18.1,29.8,37.0,19.0,13.0,0
348,16.6,35.0,26.0,11.0,6.0,0
349,22.9,34.7,85.0,24.0,31.0,1
350,19.5,33.7,28.0,6.0,7.0,0
351,22.7,35.7,30.0,7.0,7.0,0
352,21.9,36.4,37.0,22.0,15.0,0
353,23.3,37.2,33.0,17.0,7.0,0
354,23.8,39.7,30.0,13.0,11.0,0
355,24.8,41.6,37.0,4.0,13.0,0
356,24.5,42.4,56.0,20.0,7.0,0
357,25.7,37.1,46.0,13.0,24.0,0
358,20.5,34.8,35.0,11.0,19.0,0
359,20.6,39.4,50.0,17.0,4.0,0
360,24.8,38.2,57.0,13.0,20.0,0
361,21.2,29.0,43.0,20.0,17.0,0
362,15.6,24.6,46.0,22.0,24.0,0
363,11.3,28.8,50.0,9.0,20.0,0
364,13.8,34.8,28.0,6.0,9.0,0
365,20.2,40.3,30.0,7.0,11.0,0
366,23.2,41.3,44.0,13.0,22.0,0
367,26.2,40.3,39.0,13.0,19.0,0
368,21.5,38.8,33.0,15.0,7.0,0
369,22.1,41.2,33.0,13.0,17.0,0
370,24.2,41.3,33.0,11.0,9.0,0
371,27.0,41.8,44.0,11.0,15.0,0
372,22.9,36.2,39.0,11.0,9.0,0
373,24.0,38.0,33.0,9.0,7.0,0
374,24.0,37.4,46.0,24.0,24.0,0
375,24.0,34.1,43.0,24.0,9.0,0
376,23.8,32.1,39.0,15.0,17.0,0
377,23.1,33.3,54.0,26.0,31.0,0
378,22.7,29.9,56.0,24.0,24.0,1
379,19.2,29.6,57.0,6.0,19.0,1
380,19.7,26.8,39.0,9.0,20.0,0
381,19.8,25.3,37.0,11.0,17.0,1
382,22.7,30.4,35.0,13.0,6.0,1
383,20.8,32.1,31.0,20.0,7.0,0
384,23.4,35.7,24.0,9.0,9.0,0
385,20.1,23.6,24.0,9.0,9.0,1
386,21.1,26.5,44.0,19.0,13.0,0
387,18.0,29.3,35.0,15.0,19.0,0
388,18.0,30.3,30.0,6.0,9.0,0
389,19.9,31.7,30.0,13.0,11.0,0
390,19.3,30.7,39.0,17.0,15.0,0
391,17.5,30.7,41.0,19.0,9.0,0
392,20.6,32.5,30.0,19.0,7.0,0
393,20.9,34.0,31.0,9.0,6.0,0
394,22.0,35.3,37.0,7.0,19.0,0
395,22.4,30.9,35.0,19.0,13.0,0
396,19.3,33.8,37.0,20.0,13.0,0
397,20.6,32.3,48.0,20.0,13.0,0
398,18.7,32.5,30.0,17.0,6.0,0
399,21.6,31.6,28.0,7.0,4.0,0
400,19.4,27.4,48.0,15.0,9.0,0
401,17.9,26.8,50.0,26.0,20.0,0
402,15.8,30.4,39.0,22.0,20.0,1
403,18.4,22.5,43.0,20.0,24.0,1
404,18.0,27.9,33.0,19.0,17.0,1
405,20.7,30.5,22.0,2.0,9.0,0
406,19.1,29.4,41.0,19.0,22.0,0
407,15.1,26.7,44.0,15.0,22.0,0
408,14.0,26.6,35.0,13.0,13.0,0
409,12.8,23.2,33.0,11.0,17.0,0
410,11.0,27.7,41.0,13.0,17.0,0
411,16.1,28.0,46.0,20.0,11.0,0
412,16.3,28.0,43.0,20.0,9.0,0
413,15.8,28.5,35.0,20.0,7.0,0
414,17.3,29.6,26.0,17.0,6.0,0
415,16.5,30.9,28.0,7.0,6.0,0
416,17.7,30.9,30.0,17.0,13.0,0
417,16.8,33.2,26.0,9.0,13.0,0
418,18.8,32.6,30.0,11.0,6.0,0
419,18.8,34.0,24.0,6.0,7.0,0
420,18.9,34.2,33.0,7.0,13.0,0
421,18.5,30.3,28.0,13.0,13.0,0
422,12.8,30.3,30.0,9.0,13.0,0
423,13.1,32.0,31.0,7.0,7.0,0
424,16.4,34.2,22.0,13.0,7.0,0
425,16.3,34.8,33.0,7.0,7.0,0
426,17.7,34.4,22.0,7.0,7.0,0
427,23.3,32.4,50.0,9.0,7.0,1
428,18.8,25.8,28.0,6.0,6.0,1
429,16.7,27.7,22.0,4.0,6.0,0
430,16.1,28.6,24.0,2.0,11.0,0
431,12.2,29.0,26.0,2.0,15.0,0
432,14.1,29.6,33.0,15.0,7.0,0
433,16.7,28.6,37.0,20.0,17.0,0
434,15.0,28.5,35.0,19.0,20.0,1
435,17.1,20.9,44.0,15.0,17.0,1
436,17.7,28.1,44.0,17.0,15.0,1
437,17.5,25.5,30.0,11.0,13.0,0
438,14.6,23.5,20.0,9.0,6.0,0
439,17.1,26.2,30.0,9.0,15.0,0
440,15.3,24.1,33.0,6.0,20.0,0
441,7.9,22.9,20.0,6.0,9.0,0
442,9.2,24.6,22.0,7.0,6.0,0
443,11.8,27.6,30.0,13.0,6.0,0
444,14.7,27.4,31.0,19.0,2.0,0
445,15.6,27.8,31.0,22.0,15.0,0
446,16.3,28.7,31.0,19.0,13.0,0
447,14.8,27.9,24.0,13.0,7.0,0
448,15.3,28.6,26.0,17.0,9.0,0
449,16.2,30.2,59.0,11.0,9.0,0
450,17.1,29.9,31.0,13.0,13.0,0
451,18.0,30.3,46.0,20.0,20.0,1
452,14.1,20.1,39.0,11.0,17.0,0
453,7.6,20.8,30.0,9.0,7.0,0
454,9.6,20.5,17.0,6.0,7.0,0
455,8.8,22.0,26.0,4.0,13.0,0
456,9.0,21.1,24.0,7.0,7.0,0
457,8.4,24.5,19.0,7.0,4.0,0
458,10.9,25.6,17.0,9.0,4.0,0
459,11.6,27.9,33.0,13.0,11.0,0
460,14.8,28.7,41.0,19.0,15.0,1
461,9.8,17.8,44.0,20.0,19.0,0
462,8.1,20.1,44.0,7.0,13.0,0
463,6.6,22.4,44.0,6.0,13.0,0
464,8.8,23.9,44.0,6.0,6.0,0
465,8.6,25.5,30.0,15.0,20.0,0
466,12.1,20.9,37.0,9.0,17.0,0
467,3.0,17.7,26.0,9.0,11.0,0
468,4.1,19.8,26.0,6.0,11.0,0
469,12.5,21.6,24.0,6.0,13.0,0
470,6.5,21.0,30.0,6.0,7.0,0
471,7.2,21.0,20.0,6.0,6.0,0
472,10.0,19.7,17.0,9.0,2.0,0
473,7.9,20.1,30.0,6.0,13.0,0
474,6.3,18.9,24.0,7.0,11.0,0
475,6.7,20.6,33.0,17.0,13.0,0
476,12.4,16.7,37.0,13.0,11.0,1
477,12.2,20.4,50.0,7.0,11.0,1
478,10.7,18.0,30.0,17.0,11.0,0
479,10.3,20.7,22.0,6.0,9.0,0
480,12.1,18.6,31.0,11.0,17.0,1
481,11.7,15.3,48.0,15.0,20.0,1
482,11.0,15.1,24.0,9.0,7.0,0
483,8.3,18.7,19.0,9.0,6.0,1
484,11.7,16.1,20.0,7.0,7.0,0
485,8.9,19.1,26.0,6.0,13.0,0
486,7.3,19.2,28.0,9.0,17.0,0
487,6.9,16.5,33.0,9.0,17.0,0
488,7.2,13.8,33.0,15.0,15.0,0
489,2.9,13.6,13.0,4.0,6.0,0
490,2.0,15.8,24.0,6.0,9.0,0
491,2.0,13.7,48.0,17.0,20.0,0
492,5.2,13.1,31.0,19.0,13.0,0
493,6.5,14.4,31.0,9.0,17.0,0
494,2.3,14.7,20.0,7.0,9.0,0
495,3.6,19.1,22.0,13.0,11.0,0
496,6.5,20.4,28.0,13.0,11.0,0
497,8.3,19.4,35.0,15.0,17.0,1
498,11.2,19.3,41.0,7.0,20.0,1
499,4.0,17.4,24.0,7.0,9.0,0
500,9.5,17.0,28.0,6.0,9.0,0
501,10.0,18.0,22.0,6.0,7.0,0
502,6.1,18.3,31.0,15.0,9.0,0
503,9.5,18.7,37.0,24.0,13.0,0
504,9.2,20.6,33.0,17.0,15.0,0
505,10.0,22.0,39.0,20.0,19.0,1
506,9.9,13.6,33.0,11.0,13.0,0
507,1.0,11.6,19.0,4.0,9.0,0
508,0.0,12.7,24.0,7.0,11.0,0
509,1.6,16.2,28.0,7.0,7.0,0
510,3.9,16.9,26.0,9.0,9.0,0
511,7.4,9.4,35.0,13.0,11.0,1
512,2.0,11.9,26.0,9.0,9.0,0
513,1.0,13.8,24.0,6.0,6.0,0
514,2.8,15.3,26.0,13.0,7.0,0
515,4.4,11.3,35.0,19.0,17.0,0
516,2.9,13.4,22.0,9.0,9.0,0
517,3.9,17.0,30.0,11.0,13.0,0
518,5.5,17.8,31.0,15.0,17.0,0
519,8.5,20.0,52.0,28.0,17.0,0
520,12.0,18.4,22.0,6.0,4.0,0
521,7.4,19.8,24.0,15.0,4.0,0
522,11.7,17.4,41.0,17.0,15.0,1
523,7.4,14.9,56.0,19.0,20.0,0
524,7.9,14.6,43.0,20.0,11.0,0
525,2.9,13.8,20.0,6.0,9.0,0
526,2.2,16.4,19.0,9.0,4.0,0
527,4.2,17.5,20.0,9.0,7.0,0
528,6.3,15.7,31.0,6.0,19.0,0
529,2.1,12.8,30.0,6.0,15.0,0
530,2.4,13.2,26.0,6.0,11.0,0
531,1.3,14.5,24.0,9.0,13.0,0
532,0.9,15.9,26.0,13.0,9.0,0
533,5.2,16.7,22.0,9.0,9.0,0
534,16.1,31.4,54.0,7.0,37.0,0
535,22.8,24.7,56.0,35.0,15.0,1
536,20.0,24.1,35.0,20.0,19.0,0
537,14.8,25.0,24.0,7.0,17.0,0
538,15.5,27.3,41.0,7.0,30.0,0
539,19.8,30.2,54.0,24.0,39.0,0
540,22.7,29.6,56.0,20.0,37.0,0
541,22.7,29.2,44.0,9.0,20.0,1
542,19.5,21.4,56.0,26.0,28.0,1
543,16.9,24.2,30.0,20.0,15.0,0
544,13.7,25.5,26.0,13.0,15.0,0
545,17.5,27.4,31.0,11.0,19.0,0
546,17.7,27.0,28.0,15.0,20.0,0
547,16.9,27.4,43.0,13.0,30.0,0
548,19.1,32.2,61.0,31.0,46.0,0
549,21.0,27.5,39.0,6.0,15.0,1
550,19.0,21.3,50.0,19.0,30.0,1
551,14.8,23.1,28.0,17.0,9.0,0
552,14.3,25.9,44.0,7.0,31.0,0
553,20.2,28.5,59.0,17.0,39.0,0
554,22.2,30.8,48.0,17.0,31.0,0
555,22.6,28.2,48.0,24.0,20.0,0
556,22.2,29.4,50.0,17.0,31.0,0
557,23.6,30.6,56.0,24.0,35.0,0
558,22.1,25.6,41.0,19.0,17.0,1
559,20.1,27.1,31.0,20.0,15.0,1
560,20.8,27.7,30.0,13.0,15.0,1
561,20.1,28.2,30.0,19.0,15.0,0
562,19.8,29.1,31.0,6.0,19.0,0
563,18.2,29.0,35.0,11.0,19.0,0
564,20.7,28.7,33.0,7.0,24.0,0
565,20.0,29.6,30.0,7.0,19.0,1
566,21.6,28.3,26.0,11.0,15.0,0
567,19.3,28.0,30.0,7.0,20.0,0
568,21.2,29.2,31.0,4.0,20.0,0
569,20.1,29.1,33.0,9.0,20.0,0
570,19.1,29.4,39.0,15.0,24.0,0
571,19.1,29.9,31.0,9.0,20.0,0
572,17.4,29.2,31.0,7.0,20.0,0
573,16.4,28.1,22.0,13.0,15.0,0
574,21.0,30.0,56.0,19.0,39.0,0
575,21.6,27.6,48.0,24.0,31.0,1
576,18.8,23.7,65.0,20.0,20.0,1
577,18.6,22.5,59.0,9.0,24.0,1
578,18.3,24.8,57.0,28.0,31.0,1
